Апатиты	Apatity
Новомосковск	Novomoskovsk
Тула	Tula
Узловая	Uzlovaya
Щекино	Shchekino
Абатский район	Abatsky district
Армизонский район	Armizonsky district
Аромашевский район	Aromashevsky district
Бердюжский район	Berdyuzhsky district
Вагайский район	Vagai district
Викуловский район	Vikulovsky district
Голышмановский район	Golyshmanovsky district
Заводоуковск	Zavodoukovsk
Заводоуковский район	Zavodoukovsky district
Исетский район	Isetsky district
Ишим	Ishim
Ишимский район	Ishimsky district
Казанский район	Kazansky district
Нижнетавдинский район	Nizhnetavdinsky district
Омутинский район	Omutinsky district
Сладковский район	Sladkovsky district
Сорокинский район	Sorokinsky district
Тобольск	Tobolsk
Тобольский район	Tobolsk district
Тюменский район	Tyumen district
Тюмень	Tyumen
Уватский район	Uvat district
Упоровский район	Uporovsky district
Юргинский район	Yurginsky district
Ялуторовск	Yalutorovsk
Ялуторовский район	Yalutorovsky district
Ярковский район	Yarkovsky district
Златоуст	Zlatoust
Копейск	Kopeysk
Магнитогорск	Magnitogorsk
Челябинск	Chelyabinsk
Москва	Moscow
Санкт-Петербург	Saint Petersburg
